seed,qaoa_seed,alpha,label,ar,seconds,hit
0,1000,-1.0,mean (default),1.0,4.197600099985721,True
0,1001,-1.0,mean (default),0.9922231931873238,3.2633580999972764,False
0,1002,-1.0,mean (default),0.9700975646675049,3.7073890000174288,False
0,1000,0.5,CVaR alpha=0.5,0.9700975646675049,3.101482300000498,False
0,1001,0.5,CVaR alpha=0.5,0.9922231931873238,3.861632899992401,False
0,1002,0.5,CVaR alpha=0.5,0.8214844223769953,3.236017199989874,False
0,1000,0.25,CVaR alpha=0.25,0.9922231931873238,2.7588668999960646,False
0,1001,0.25,CVaR alpha=0.25,0.9922231931873238,4.401252300012857,False
0,1002,0.25,CVaR alpha=0.25,1.0,3.2640229999960866,True
0,1000,0.1,CVaR alpha=0.1,1.0,4.881746500002919,True
0,1001,0.1,CVaR alpha=0.1,1.0,4.388462700007949,True
0,1002,0.1,CVaR alpha=0.1,1.0,3.877576600003522,True
1,1097,-1.0,mean (default),0.978169849076203,3.6330023999908008,False
1,1098,-1.0,mean (default),1.0,4.786500400019577,True
1,1099,-1.0,mean (default),1.0,3.5780949000036344,True
1,1097,0.5,CVaR alpha=0.5,1.0,4.835704600001918,True
1,1098,0.5,CVaR alpha=0.5,1.0,2.8604768000077456,True
1,1099,0.5,CVaR alpha=0.5,0.978169849076203,3.4037925000011455,False
1,1097,0.25,CVaR alpha=0.25,1.0,4.4228505000064615,True
1,1098,0.25,CVaR alpha=0.25,1.0,3.6269743000157177,True
1,1099,0.25,CVaR alpha=0.25,0.897259464477554,2.4428447999816854,False
1,1097,0.1,CVaR alpha=0.1,1.0,3.428053900017403,True
1,1098,0.1,CVaR alpha=0.1,0.947088887586927,2.494068200001493,False
1,1099,0.1,CVaR alpha=0.1,0.978169849076203,3.927775999996811,False
2,1194,-1.0,mean (default),0.9961392044852236,2.785210100002587,False
2,1195,-1.0,mean (default),1.0,3.8509338999865577,True
2,1196,-1.0,mean (default),1.0,3.43041760000051,True
2,1194,0.5,CVaR alpha=0.5,1.0,4.26432560000103,True
2,1195,0.5,CVaR alpha=0.5,1.0,4.404097999999067,True
2,1196,0.5,CVaR alpha=0.5,1.0,3.626819600001909,True
2,1194,0.25,CVaR alpha=0.25,1.0,4.954144399991492,True
2,1195,0.25,CVaR alpha=0.25,1.0,4.651847300003283,True
2,1196,0.25,CVaR alpha=0.25,0.9350216863526009,3.2041098999907263,False
