seed,fairness_lambda,profit,parity_gap,n_funded
0,0.0,1379.401427290328,-0.25,4
0,2000.0,1368.6740888731613,0.0,5
0,20000.0,1368.6740888731613,0.0,5
1,0.0,1436.953768629343,-0.23809523809523808,5
1,2000.0,1405.5848509896455,-0.09523809523809523,4
1,20000.0,1341.0781570616268,0.047619047619047616,3
2,0.0,5028.759413000518,-0.6666666666666666,4
2,2000.0,5009.344401213916,-0.25,4
2,20000.0,4692.8649475419115,-0.08333333333333331,3
3,0.0,3143.7484753683316,-0.5,4
3,2000.0,3026.928894445994,0.125,4
3,20000.0,2962.047644529613,0.0,5
4,0.0,3349.627781984482,-0.4444444444444444,4
4,2000.0,3194.670289150789,-0.3333333333333333,3
4,20000.0,2564.6940385103594,-0.1111111111111111,1
