seed,qaoa_seed,solver,reps,qubits,objective,ar,seconds,hit
0,,Exact (brute force),,14,55864.778627516396,1.0,0.0577861000001576,True
0,,Greedy heuristic,,14,55864.778627516396,1.0,0.00027120000049762893,True
0,1000.0,QAOA p=1,1.0,14,52713.04877445732,0.9435828811911432,6.502335600000151,False
0,1001.0,QAOA p=1,1.0,14,55864.778627516396,1.0,6.641657500000292,True
0,1002.0,QAOA p=1,1.0,14,50744.57364191182,0.9083464552908368,5.181917599998997,False
0,1000.0,QAOA p=2,2.0,14,52713.04877445732,0.9435828811911432,9.220162200001141,False
0,1001.0,QAOA p=2,2.0,14,55864.778627516396,1.0,8.19562550000046,True
0,1002.0,QAOA p=2,2.0,14,55864.778627516396,1.0,8.676836399999956,True
0,1000.0,QAOA p=3,3.0,14,55864.778627516396,1.0,11.054765800001405,True
0,1001.0,QAOA p=3,3.0,14,50744.57364191182,0.9083464552908368,9.469425499999488,False
0,1002.0,QAOA p=3,3.0,14,52713.04877445732,0.9435828811911432,10.178554000000076,False
1,,Exact (brute force),,14,24276.860994333303,1.0,0.06465209999987565,True
1,,Greedy heuristic,,14,24276.860994333303,1.0,0.00024369999846385326,True
1,1097.0,QAOA p=1,1.0,14,24276.860994333303,1.0,6.018482499999664,True
1,1098.0,QAOA p=1,1.0,14,24276.860994333303,1.0,4.446583199998713,True
1,1099.0,QAOA p=1,1.0,14,24276.860994333303,1.0,6.626452699998481,True
1,1097.0,QAOA p=2,2.0,14,24276.860994333303,1.0,7.372279000001072,True
1,1098.0,QAOA p=2,2.0,14,22512.043578244033,0.9273045466421209,7.063809199999014,False
1,1099.0,QAOA p=2,2.0,14,22720.023816969766,0.935871561907162,6.913146999999299,False
1,1097.0,QAOA p=3,3.0,14,22720.023816969766,0.935871561907162,8.896485600000233,False
1,1098.0,QAOA p=3,3.0,14,22528.29534720836,0.9279739811694316,10.584952000001067,False
1,1099.0,QAOA p=3,3.0,14,22720.023816969766,0.935871561907162,10.88136889999987,False
2,,Exact (brute force),,13,14125.214493847448,1.0,0.05483679999997548,True
2,,Greedy heuristic,,13,14125.214493847448,1.0,0.0001644000003580004,True
2,1194.0,QAOA p=1,1.0,13,12874.937450666512,0.9114861552208271,3.9882283000006282,False
2,1195.0,QAOA p=1,1.0,13,14125.214493847448,1.0,4.4718595999984245,True
2,1196.0,QAOA p=1,1.0,13,14125.214493847448,1.0,4.273323200000959,True
2,1194.0,QAOA p=2,2.0,13,13259.099128519154,0.9386830291528988,5.722074699999212,False
2,1195.0,QAOA p=2,2.0,13,14125.214493847448,1.0,6.48820650000016,True
2,1196.0,QAOA p=2,2.0,13,12955.241787023888,0.9171713316400846,6.033254300000408,False
2,1194.0,QAOA p=3,3.0,13,13044.42288267208,0.9234849416519564,8.274367899999561,False
2,1195.0,QAOA p=3,3.0,13,14125.214493847448,1.0,8.766212900000028,True
2,1196.0,QAOA p=3,3.0,13,13406.085117555598,0.9490889588540349,8.347904899999776,False
3,,Exact (brute force),,14,34254.70792170335,1.0,0.05647820000012871,True
3,,Greedy heuristic,,14,34254.70792170335,1.0,0.0001754000004439149,True
3,1291.0,QAOA p=1,1.0,14,31973.479011488114,0.9334039304778342,3.9301978000003146,False
3,1292.0,QAOA p=1,1.0,14,32004.696884075292,0.9343152759389759,5.127964100000099,False
3,1293.0,QAOA p=1,1.0,14,34254.70792170335,1.0,6.4584174000010535,True
3,1291.0,QAOA p=2,2.0,14,34254.70792170335,1.0,7.7019342000003235,True
3,1292.0,QAOA p=2,2.0,14,34254.70792170335,1.0,6.345710199999303,True
3,1293.0,QAOA p=2,2.0,14,34254.70792170335,1.0,7.56895170000098,True
3,1291.0,QAOA p=3,3.0,14,34254.70792170335,1.0,9.862474100000327,True
3,1292.0,QAOA p=3,3.0,14,34254.70792170335,1.0,10.979486800000814,True
3,1293.0,QAOA p=3,3.0,14,34254.70792170335,1.0,11.28693100000055,True
4,,Exact (brute force),,14,37453.172781271045,1.0,0.0553674000002502,True
4,,Greedy heuristic,,14,37453.172781271045,1.0,0.00016379999942728318,True
4,1388.0,QAOA p=1,1.0,14,35456.65144217176,0.9466928649607578,4.965135599999485,False
4,1389.0,QAOA p=1,1.0,14,37453.172781271045,1.0,5.75220470000022,True
4,1390.0,QAOA p=1,1.0,14,37453.172781271045,1.0,4.956426799999463,True
4,1388.0,QAOA p=2,2.0,14,37453.172781271045,1.0,6.385851500001081,True
4,1389.0,QAOA p=2,2.0,14,37453.172781271045,1.0,6.487243999999919,True
4,1390.0,QAOA p=2,2.0,14,35473.239198897594,0.9471357581923329,7.294911999999385,False
4,1388.0,QAOA p=3,3.0,14,37453.172781271045,1.0,10.063822799998889,True
4,1389.0,QAOA p=3,3.0,14,35473.239198897594,0.9471357581923329,9.5969714999992,False
4,1390.0,QAOA p=3,3.0,14,37453.172781271045,1.0,8.889041399999769,True
5,,Exact (brute force),,14,48951.754066463756,1.0,0.06351119999999355,True
5,,Greedy heuristic,,14,48951.754066463756,1.0,0.00025940000159607735,True
