  seed=0 mean (default)   AR=0.9664
  seed=0 CVaR alpha=0.5   AR=0.9481
  seed=0 CVaR alpha=0.25  AR=0.9929
  seed=0 CVaR alpha=0.1   AR=0.9774
  seed=1 mean (default)   AR=0.9504
  seed=1 CVaR alpha=0.5   AR=0.9723
  seed=1 CVaR alpha=0.25  AR=0.9753
  seed=1 CVaR alpha=0.1   AR=0.9920
  seed=2 mean (default)   AR=0.9565
  seed=2 CVaR alpha=0.5   AR=0.9783
  seed=2 CVaR alpha=0.25  AR=0.9650
  seed=2 CVaR alpha=0.1   AR=0.9678
  seed=3 mean (default)   AR=0.9723
  seed=3 CVaR alpha=0.5   AR=0.9747
  seed=3 CVaR alpha=0.25  AR=0.9793
  seed=3 CVaR alpha=0.1   AR=0.9933
  seed=4 mean (default)   AR=0.9880
  seed=4 CVaR alpha=0.5   AR=0.9786
  seed=4 CVaR alpha=0.25  AR=0.9786
  seed=4 CVaR alpha=0.1   AR=0.9934
  seed=5 mean (default)   AR=0.9856
  seed=5 CVaR alpha=0.5   AR=0.9984
  seed=5 CVaR alpha=0.25  AR=0.9977
  seed=5 CVaR alpha=0.1   AR=0.9962
  seed=6 mean (default)   AR=0.9960
  seed=6 CVaR alpha=0.5   AR=0.9985
  seed=6 CVaR alpha=0.25  AR=1.0000
  seed=6 CVaR alpha=0.1   AR=0.9966
  seed=7 mean (default)   AR=0.9897
  seed=7 CVaR alpha=0.5   AR=0.9812
  seed=7 CVaR alpha=0.25  AR=0.9759
  seed=7 CVaR alpha=0.1   AR=0.9986

=== CVaR ABLATION ===
          label  ar_mean   ar_min   ar_std  hit_rate  seconds
 CVaR alpha=0.1 0.989418 0.852247 0.026008  0.781250 4.482316
CVaR alpha=0.25 0.983096 0.914002 0.027411  0.703125 4.415399
 CVaR alpha=0.5 0.978766 0.900146 0.032652  0.578125 4.281471
 mean (default) 0.975614 0.813159 0.038366  0.578125 4.378542

best: CVaR alpha=0.1 at AR 0.9894 vs default 0.9756  (delta +0.0138)
scatter WITHIN a cell: 0.0258 | spread BETWEEN settings: 0.0060
-> INCONCLUSIVE: the difference between aggregation settings is smaller than the seed-to-seed scatter. Keep the default and say why.
