LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,group,sector,marital,principal,interest_if_repaid,loss_if_default,p_default,is_test,expected_value
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,female,university,single,2682.0,482.76,1609.2,0.3519493425955344,True,-253.50394673615415
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,female,university,married,46990.0,8458.199999999999,28194.0,0.1480770244119555,True,3030.8512858481236
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,female,graduate,single,12261.0,2206.98,7356.599999999999,0.09640045275883699,True,1285.0465580046416
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,male,graduate,single,70887.0,12759.66,42532.2,0.04803951230239587,True,10103.46601130765
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,male,graduate,married,253286.0,45591.479999999996,151971.6,0.08123971282612344,True,29541.512115755548
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,female,high-school,single,38358.0,6904.44,23014.8,0.09341500098100752,True,4109.534166048999
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,female,university,married,316.0,56.879999999999995,189.6,0.2527377400441907,True,-5.414798166092126
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,male,high-school,single,47620.0,8571.6,28572.0,0.14801076282600237,True,3073.9474298960995
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,male,graduate,single,0.0,0.0,0.0,0.25417704933307184,True,0.0
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,female,university,married,10929.0,1967.22,6557.4,0.04937093723804868,True,1546.3515210017856
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,male,graduate,married,13709.0,2467.62,8225.4,0.07129682654202289,True,1705.2416078496185
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,male,graduate,single,0.0,0.0,0.0,0.30023971441634945,True,0.0
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,male,graduate,single,0.0,0.0,0.0,0.23186798693145047,True,0.0
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,female,graduate,single,46224.0,8320.32,27734.399999999998,0.6480352257730824,True,-15044.408615385268
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,female,university,married,28718.0,5169.24,17230.8,0.17583639844694218,True,1230.4976413325571
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,male,graduate,married,152519.0,27453.42,91511.4,0.2728845232725871,True,-5010.238191909139
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,male,university,married,2097.0,377.46,1258.2,0.6438301779166123,True,-675.6272688110862
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,female,graduate,single,300.0,54.0,180.0,0.32915117876896244,True,-23.021375831937213
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,female,graduate,single,0.0,0.0,0.0,0.2524385417663765,True,0.0
